sample_id,orb_keypoints,orb_self_match_retention,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
munster_000032_000019,800.0,1.0,0.5127364687727359,15,29,196
munster_000033_000019,800.0,1.0,0.5442321944691708,14,16,161
munster_000034_000019,800.0,1.0,0.39086478065872865,13,17,91
munster_000035_000019,800.0,1.0,0.5623998635383919,12,12,91
munster_000036_000019,800.0,1.0,0.6224960729265776,11,16,103
munster_000037_000019,800.0,1.0,0.48561218141637497,13,12,100
munster_000038_000019,800.0,1.0,0.5731853600882747,14,36,183
munster_000039_000019,800.0,1.0,0.5421139072383505,13,17,139
munster_000040_000019,800.0,1.0,0.5171937570926824,15,24,213
munster_000041_000019,800.0,1.0,0.5727012732191253,12,21,237
munster_000042_000019,800.0,1.0,0.593490334935014,12,33,260
munster_000043_000019,800.0,1.0,0.5892089323929218,11,14,176
munster_000044_000019,800.0,1.0,0.6432705148090552,11,28,232
munster_000045_000019,800.0,1.0,0.5562375104001701,12,19,107
munster_000046_000019,800.0,1.0,0.5947105929650396,13,19,203
munster_000047_000019,800.0,1.0,0.4851488807424373,15,26,165
munster_000048_000019,800.0,1.0,0.4696759164233251,17,32,219
munster_000049_000019,800.0,1.0,0.4830027024431231,14,24,185
munster_000050_000019,800.0,1.0,0.4727163104804544,14,17,115
munster_000051_000019,800.0,1.0,0.5252947956909202,16,16,178
munster_000052_000019,800.0,1.0,0.5786712233008173,13,46,228
munster_000053_000019,800.0,1.0,0.4243271843385813,16,17,252
munster_000054_000019,800.0,1.0,0.5416370925749132,13,21,119
munster_000055_000019,800.0,1.0,0.5784029814683127,14,14,227
munster_000056_000019,800.0,1.0,0.6034199089432386,12,33,172
munster_000057_000019,800.0,1.0,0.590916928667036,12,32,202
munster_000058_000019,800.0,1.0,0.6918480056945361,11,16,110
munster_000059_000019,800.0,1.0,0.5242696485275888,15,26,144
munster_000060_000019,800.0,1.0,0.45631787185197975,13,35,165
munster_000061_000019,800.0,1.0,0.5374496084494269,11,25,141
munster_000062_000019,800.0,1.0,0.602968007654805,11,30,211
munster_000063_000019,800.0,1.0,0.49644998817974323,15,28,179
munster_000064_000019,800.0,1.0,0.6083046327004697,13,15,103
munster_000065_000019,800.0,1.0,0.5830232847325247,12,17,219
munster_000066_000019,800.0,1.0,0.5459723564200287,12,34,163
munster_000067_000019,800.0,1.0,0.6035398372156456,10,16,151
munster_000068_000019,800.0,1.0,0.4822541192472874,14,30,192
munster_000069_000019,800.0,1.0,0.508070267993367,14,34,155
munster_000070_000019,800.0,1.0,0.3688709701822742,18,32,189
munster_000071_000019,800.0,1.0,0.48055333425171487,14,28,208
munster_000072_000019,800.0,1.0,0.4275208048624348,15,30,146
munster_000073_000019,800.0,1.0,0.6895882983643081,8,24,135
munster_000074_000019,800.0,1.0,0.5856942049133573,12,25,160
munster_000075_000019,800.0,1.0,0.5745257848348305,9,17,115
