distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,operating_confidence,precision_50_at_operating_confidence,recall_50_at_operating_confidence,f1_50_at_operating_confidence,gt_count,prediction_count,operating_prediction_count
LowLight,0.6,restored,person,0.18819056589844702,0.3517031450425765,0.06423747447777603,0.5720279720279721,0.7255641885203149,0.25,0.6560693641618497,0.3174825174825175,0.4278982092365693,715.0,6367.0,346.0
LowLight,0.6,restored,bicycle,0.09788445896002533,0.19576050025675998,0.06505576208178439,0.3776978417266187,0.6794566968718404,0.25,0.6833333333333333,0.1474820143884892,0.242603550295858,278.0,1614.0,60.0
LowLight,0.6,restored,car,0.33513964641491945,0.5431855937674358,0.09847198641765705,0.6631486367634125,0.7601946681930998,0.25,0.8454861111111112,0.4283201407211961,0.5685931115002919,1137.0,7657.0,576.0
LowLight,0.6,restored,motorcycle,0.059175420068157826,0.14338364029244313,0.07518796992481203,0.2702702702702703,0.6837905777958121,0.25,0.8,0.10810810810810811,0.19047619047619047,37.0,133.0,5.0
LowLight,0.6,restored,bus,0.34836150098526336,0.4572166007809572,0.030226700251889168,0.5714285714285714,0.81500662218366,0.25,0.875,0.3333333333333333,0.48275862068965514,21.0,397.0,8.0
LowLight,0.6,restored,train,0.0561056105610561,0.1122112211221122,0.011494252873563218,0.3333333333333333,0.7076961650486455,0.25,0.0,0.0,0.0,3.0,87.0,2.0
LowLight,0.6,restored,truck,0.17804412386831941,0.23195776444537994,0.020378457059679767,0.6086956521739131,0.76524081045844,0.25,0.21875,0.30434782608695654,0.2545454545454546,23.0,687.0,32.0
LowLight,0.4,distorted,person,0.17483206881115226,0.328172967714835,0.06351503457147452,0.5524475524475524,0.7237459271488705,0.25,0.6655844155844156,0.2867132867132867,0.40078201368523947,715.0,6219.0,308.0
LowLight,0.4,distorted,bicycle,0.0798244910705215,0.1588173980125318,0.0644910644910645,0.29856115107913667,0.6888896953464634,0.25,0.6545454545454545,0.12949640287769784,0.21621621621621623,278.0,1287.0,55.0
LowLight,0.4,distorted,car,0.32229820007098015,0.5159650477604862,0.10144516860300368,0.6297273526824978,0.7676690447406244,0.25,0.8752436647173489,0.39489885664028146,0.5442424242424243,1137.0,7058.0,513.0
LowLight,0.4,distorted,motorcycle,0.054232625312306916,0.1440059286874157,0.08823529411764706,0.24324324324324326,0.6852840752679966,0.25,0.6,0.08108108108108109,0.14285714285714288,37.0,102.0,5.0
LowLight,0.4,distorted,bus,0.34033776002997573,0.4203807905257643,0.03234501347708895,0.5714285714285714,0.8282662358438818,0.25,0.7777777777777778,0.3333333333333333,0.4666666666666666,21.0,371.0,9.0
LowLight,0.4,distorted,train,0.033663366336633666,0.08415841584158416,0.00847457627118644,0.3333333333333333,0.6893095879022398,0.25,0.0,0.0,0.0,3.0,118.0,0.0
LowLight,0.4,distorted,truck,0.1706143879726095,0.21679252949644645,0.02480916030534351,0.5652173913043478,0.7781915107455215,0.25,0.25,0.30434782608695654,0.27450980392156865,23.0,524.0,28.0
LowLight,0.4,restored,person,0.18686401701200972,0.34783656808837604,0.06479447756510825,0.5776223776223777,0.7226096323426343,0.25,0.6457142857142857,0.31608391608391606,0.4244131455399061,715.0,6374.0,350.0
LowLight,0.4,restored,bicycle,0.09800695195269847,0.19207644556661066,0.06524466750313676,0.37410071942446044,0.685781200963732,0.25,0.6507936507936508,0.1474820143884892,0.2404692082111437,278.0,1594.0,63.0
LowLight,0.4,restored,car,0.3357450039448969,0.5364080565439504,0.09602478058853897,0.6543535620052771,0.7645228200405797,0.25,0.8359240069084629,0.4256816182937555,0.5641025641025641,1137.0,7748.0,579.0
