distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
LowLight,0.6,7,traffic sign,0.5200017006215241,0.5906082763832502,1656714,1203420
LowLight,0.6,8,vegetation,0.8653943245820291,0.9416155398219078,37874102,38998675
LowLight,0.6,9,terrain,0.5176172394017846,0.6178595474123967,1774905,1440372
LowLight,0.6,10,sky,0.9169253469870243,0.9479769034562144,7910794,7767148
LowLight,0.6,11,person,0.5651311794314842,0.7178919374068882,3186357,3148765
LowLight,0.6,12,rider,0.22720813623265218,0.28774113418952485,378420,209706
LowLight,0.6,13,car,0.8737701690648668,0.9392193349337856,13170027,13356036
LowLight,0.6,14,truck,0.7770954068796189,0.8421964230696889,866609,802455
LowLight,0.6,15,bus,0.5683685345339481,0.6740757317775496,638992,549571
LowLight,0.6,16,train,0.24892478226444972,0.6192427083497472,63463,133711
LowLight,0.6,17,motorcycle,0.3796447255267307,0.425652331117048,199132,108893
LowLight,0.6,18,bicycle,0.5433962863289592,0.6961182129745451,1474965,1441290
LowLight,0.4,0,road,0.9592536776403973,0.9789878077459455,83055684,83019155
LowLight,0.4,1,sidewalk,0.7227614715371738,0.8012540316539032,13341609,12138929
LowLight,0.4,2,building,0.865463889011305,0.9503836477258106,54242339,56873318
LowLight,0.4,3,wall,0.35974626775698954,0.47867860140837576,1259181,1019029
LowLight,0.4,4,fence,0.3856992789625997,0.5610778603901179,2904866,2950707
LowLight,0.4,5,pole,0.29827341795985685,0.4032855665841435,3268173,2468622
LowLight,0.4,6,traffic light,0.3700470226733088,0.40711434916940525,488084,247597
LowLight,0.4,7,traffic sign,0.5098634245895388,0.5778559244383762,1656714,1178272
LowLight,0.4,8,vegetation,0.8640076391464987,0.940773486853893,37874102,38996011
LowLight,0.4,9,terrain,0.5208379495266797,0.6211194401953908,1774905,1444166
LowLight,0.4,10,sky,0.9150952601245064,0.9436887119042665,7910794,7712511
LowLight,0.4,11,person,0.5628595841781968,0.7115797131332113,3186357,3109254
LowLight,0.4,12,rider,0.23898310654010604,0.30751281644733364,378420,224883
LowLight,0.4,13,car,0.8727906759695798,0.9372864611439293,13170027,13317301
LowLight,0.4,14,truck,0.765300313426153,0.828363194935663,866609,789278
LowLight,0.4,15,bus,0.5946036438902571,0.7031308686180735,638992,565924
LowLight,0.4,16,train,0.24321513786635704,0.6007122260214613,63463,131406
LowLight,0.4,17,motorcycle,0.355007172822019,0.3939447200851696,199132,100288
LowLight,0.4,18,bicycle,0.532654313335993,0.6933778089649585,1474965,1467765
LowLight,0.25,0,road,0.9583982464152391,0.9782736964757283,83055684,82973616
LowLight,0.25,1,sidewalk,0.7177078449421673,0.800399711908811,13341609,12215795
LowLight,0.25,2,building,0.8623825470764143,0.9481316799410143,54242339,56822349
LowLight,0.25,3,wall,0.3770179426744169,0.529221771929532,1259181,1174723
LowLight,0.25,4,fence,0.3816286598819594,0.5491616480760214,2904866,2870462
