distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
LowLight,0.25,bicycle,0.07218524135724305,0.13797413973310016,0.06255430060816682,0.2589928057553957,0.684351317520278,278.0,1151.0
LowLight,0.25,car,0.30965745832249747,0.4961464997900856,0.10033060227109386,0.613896218117854,0.7660733428096883,1137.0,6957.0
LowLight,0.25,motorcycle,0.04202630084437016,0.11804573314474305,0.12307692307692308,0.21621621621621623,0.6780310331253964,37.0,65.0
LowLight,0.25,bus,0.2719710452693947,0.33925848057185687,0.03313253012048193,0.5238095238095238,0.8470955401817176,21.0,332.0
LowLight,0.25,train,0.03366336633663366,0.1122112211221122,0.007246376811594203,0.3333333333333333,0.609927893943764,3.0,138.0
LowLight,0.25,truck,0.1620332076168692,0.2107143168168118,0.024719101123595506,0.4782608695652174,0.827461704008117,23.0,445.0
LowLight,0.1,person,0.10284662430168623,0.204867936142764,0.05663824604141291,0.3902097902097902,0.7026112997049179,715.0,4926.0
LowLight,0.1,bicycle,0.041371731745188,0.07230263580701529,0.06386554621848739,0.1366906474820144,0.6951380951795104,278.0,595.0
LowLight,0.1,car,0.2410289963186519,0.3939870404098246,0.08853177501826151,0.5329815303430079,0.7526912911191442,1137.0,6845.0
LowLight,0.1,motorcycle,0.004255378545373334,0.014144271570014142,0.03278688524590164,0.05405405405405406,0.5798062779875732,37.0,61.0
LowLight,0.1,bus,0.17414407589827305,0.22638428439117203,0.05263157894736842,0.47619047619047616,0.8068251613650865,21.0,190.0
LowLight,0.1,train,0.016831683168316833,0.16831683168316833,0.0045045045045045045,0.3333333333333333,0.547037771555446,3.0,222.0
LowLight,0.1,truck,0.08685501951868142,0.11946445259582544,0.04,0.30434782608695654,0.8107169865639158,23.0,175.0
MotionBlur,3.0,person,0.18805297813333555,0.3462628071317206,0.06253898939488459,0.5608391608391609,0.731373403865259,715.0,6412.0
MotionBlur,3.0,bicycle,0.0919276440651399,0.1748270229867718,0.06827880512091039,0.34532374100719426,0.6897499069620151,278.0,1406.0
MotionBlur,3.0,car,0.32675158841742824,0.5254757300557614,0.09424218951717016,0.6420404573438874,0.7657906750169597,1137.0,7746.0
MotionBlur,3.0,motorcycle,0.04876047202605523,0.12034203420342035,0.0625,0.24324324324324326,0.6852201922843962,37.0,144.0
MotionBlur,3.0,bus,0.33223399363924394,0.4400291041098113,0.02591792656587473,0.5714285714285714,0.8139067157014134,21.0,463.0
MotionBlur,3.0,train,0.04328147100424328,0.16831683168316833,0.011235955056179775,0.3333333333333333,0.5784338861311857,3.0,89.0
MotionBlur,3.0,truck,0.17024941236167007,0.21861167481867047,0.020172910662824207,0.6086956521739131,0.7650227363042744,23.0,694.0
MotionBlur,5.0,person,0.18616998981137917,0.34031625984156794,0.0631426735218509,0.5496503496503496,0.7306008036178455,715.0,6224.0
MotionBlur,5.0,bicycle,0.09108005106669595,0.1746850669258083,0.0681986656782802,0.33093525179856115,0.6834423667718807,278.0,1349.0
MotionBlur,5.0,car,0.32475124040080433,0.5271899628391193,0.09265579572746808,0.644678979771328,0.7619317201030888,1137.0,7911.0
