sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
frankfurt_000000_011074,SevereJPEG,1,60.0,30.629626084456074,28.914058459080888,0.885,0.7925,0.9755552027973464,0.8341067635224575,0.45598207686489356,0.42924514697347915,97,104
frankfurt_000000_012868,SevereJPEG,1,60.0,29.02997094313356,26.66197856331121,0.8825,0.8075,0.9791152436645886,0.8970509125454272,0.49247356964918965,0.45918909021017956,235,231
frankfurt_000000_016005,SevereJPEG,1,60.0,29.652165988732193,27.34399087225542,0.87125,0.755,0.9697069910224168,0.8177442464588949,0.36115968405943843,0.35351218034194576,102,105
frankfurt_000000_020321,SevereJPEG,1,60.0,29.249897916552744,26.8324948947092,0.88875,0.8125,0.9724824481876609,0.8020307235622606,0.47701106277315924,0.4611914850793419,173,164
frankfurt_000000_022254,SevereJPEG,1,60.0,29.635261116406774,27.279928287341182,0.87375,0.785,0.967236382791736,0.7542780865180231,0.49081416745954637,0.48825320803838157,187,175
frankfurt_000001_010830,SevereJPEG,1,60.0,27.504737070358672,25.087850115649143,0.9075,0.83875,0.9784785983099143,0.8903609946789355,0.5072464363171989,0.5040567373460147,215,207
frankfurt_000001_021406,SevereJPEG,1,60.0,29.341246634362772,26.7343176230937,0.88375,0.78125,0.9701918117592195,0.8539012568297347,0.5754201141824177,0.5720535368816675,58,57
frankfurt_000001_046779,SevereJPEG,1,60.0,28.01697029630158,25.694947851474343,0.885,0.79125,0.9718261852787965,0.8546030502507752,0.35972438708692966,0.3224710067109195,214,218
frankfurt_000001_054640,SevereJPEG,1,60.0,30.089979427921296,27.58101821674309,0.85875,0.77,0.9709716637781145,0.8616197414280962,0.49444053229694634,0.48614303249626456,220,216
frankfurt_000001_058504,SevereJPEG,1,60.0,29.563987989851345,27.121729929546422,0.86875,0.785,0.9710127894246059,0.8658615871222871,0.5086290535891013,0.5027589346349013,170,165
frankfurt_000001_062250,SevereJPEG,1,60.0,31.134088406284924,28.637011277661472,0.81625,0.73625,0.932575728204416,0.8005111130587601,0.3832951121007914,0.3549723654190441,122,119
frankfurt_000001_064651,SevereJPEG,1,60.0,30.020456331980622,27.694993864261647,0.8875,0.81375,0.9755547722103473,0.8649782216517173,0.46254596300803463,0.45564838807002933,198,178
frankfurt_000001_080091,SevereJPEG,1,60.0,29.454045788859766,26.933671886199054,0.88625,0.775,0.9776211666524989,0.8703535602975807,0.4671735231492796,0.4485147298834091,261,259
lindau_000007_000019,SevereJPEG,1,60.0,30.33504580359663,28.797938737221077,0.86,0.78625,0.9706578022118519,0.8080338083655638,0.4101376044377168,0.40569564110995315,126,129
lindau_000031_000019,SevereJPEG,1,60.0,28.260896094085645,26.627712190809525,0.87125,0.7975,0.9745642853625966,0.8480080360949616,0.4767155246710605,0.42643440880665673,145,141
munster_000007_000019,SevereJPEG,1,60.0,29.652343587153716,27.811240087766684,0.8875,0.8025,0.9785892319589027,0.8683049226803569,0.5443354241426248,0.5395493592361584,146,137
munster_000094_000019,SevereJPEG,1,60.0,26.67315652235514,24.492404059330934,0.89125,0.8125,0.9765988887093933,0.8583278424125688,0.43267718297451274,0.4310864606593481,237,231
munster_000139_000019,SevereJPEG,1,60.0,28.78470896992137,26.389265740273366,0.89,0.81625,0.9735183598285486,0.8683066447834801,0.5682158251689213,0.5607889170932755,279,280
munster_000159_000019,SevereJPEG,1,60.0,32.26756595275157,30.897026782515656,0.825,0.75875,0.9874540818581973,0.9082453487804332,0.4853344202462459,0.4683409883296592,55,56
